CWE-310,CWE-79,CWE-94,CWE-200,CWE-16,CWE-89,CWE-264,CWE-79,CWE-17,CWE-264,CWE-255,CWE-134,CWE-17,NA,CWE-119,CWE-17,NA,CWE-119,CWE-22,CWE-287,CWE-255,CWE-89,CWE-79,CWE-119,CWE-94,CWE-79,CWE-264,NA,CWE-119,CWE-20,CWE-200,CWE-399,NA,CWE-77,CWE-264,CWE-310,CWE-22,CWE-20,CWE-352,NA
certif (0.110),script (0.118),remot (0.133),password (0.044),note (0.108),sql (0.117),remot (0.055),script (0.098),remot (0.055),file (0.090),remot (0.030),remot (0.053),remot (0.041),note (0.142),overflow (0.064),user (0.043),inform (0.247),offic (0.058),dot (0.094),remot (0.050),vector (0.065),sql (0.141),script (0.111),remot (0.042),file (0.094),remot (0.048),user (0.072),oracl (0.091),vulner (0.061),servic (0.063),remot (0.061),servic (0.050),note (0.076),remot (0.047),window (0.128),remot (0.039),file (0.077),servic (0.064),request (0.079),candid (0.214)
server (0.109),paramet (0.070),paramet (0.074),inform (0.043),issu (0.062),remot (0.065),user (0.044),web (0.064),caus (0.051),user (0.071),password (0.029),servic (0.046),arbitrari (0.030),candid (0.083),execut (0.062),kernel (0.041),note (0.169),vulner (0.051),file (0.073),cisco (0.027),vulner (0.059),paramet (0.084),vulner (0.057),overflow (0.040),upload (0.072),site (0.025),local (0.066),vulner (0.076),adob (0.058),remot (0.055),obtain (0.051),caus (0.050),inform (0.045),arbitrari (0.033),vulner (0.047),server (0.028),remot (0.063),caus (0.061),remot (0.052),refer (0.108)
android (0.058),site (0.059),file (0.072),sensit (0.039),vulner (0.037),arbitrari (0.063),authent (0.036),vulner (0.059),servic (0.051),local (0.060),user (0.027),execut (0.040),execut (0.028),issu (0.068),arbitrari (0.061),local (0.038),obtain (0.168),execut (0.048),directori (0.064),authent (0.023),unknown (0.051),remot (0.071),remot (0.055),caus (0.038),remot (0.059),web (0.022),privileg (0.049),vector (0.062),execut (0.050),denial (0.053),inform (0.049),remot (0.048),issu (0.043),file (0.031),server (0.047),doe (0.025),dot (0.061),denial (0.058),site (0.050),number (0.060)
doe (0.055),web (0.059),code (0.069),user (0.038),disput (0.027),execut (0.062),access (0.026),remot (0.057),denial (0.051),arbitrari (0.034),doe (0.019),caus (0.040),code (0.022),reason (0.045),buffer (0.061),caus (0.034),parti (0.168),code (0.048),paramet (0.063),user (0.022),remot (0.050),arbitrari (0.071),site (0.055),code (0.038),execut (0.057),script (0.021),gain (0.047),affect (0.059),arbitrari (0.049),caus (0.053),path (0.045),denial (0.047),oracl (0.038),execut (0.030),user (0.035),certif (0.022),directori (0.061),remot (0.055),vulner (0.049),reject (0.058)
spoof (0.055),vulner (0.059),arbitrari (0.068),obtain (0.038),fix (0.020),command (0.061),doe (0.024),arbitrari (0.055),vector (0.039),privileg (0.021),access (0.017),arbitrari (0.040),applic (0.021),number (0.040),code (0.059),servic (0.032),unknown (0.083),remot (0.046),remot (0.063),id (0.021),manag (0.032),execut (0.071),web (0.055),arbitrari (0.037),arbitrari (0.054),doe (0.018),overflow (0.042),remot (0.054),code (0.049),cisco (0.042),sensit (0.043),consumpt (0.019),claim (0.032),command (0.021),local (0.033),properli (0.014),arbitrari (0.060),crash (0.028),cross (0.049),accident (0.055)
man (0.055),remot (0.058),execut (0.067),file (0.036),vendor (0.018),vulner (0.060),bypass (0.022),site (0.054),vulner (0.031),overwrit (0.021),make (0.017),denial (0.039),java (0.020),reject (0.040),remot (0.058),denial (0.031),proven (0.083),arbitrari (0.045),travers (0.063),access (0.020),user (0.027),vulner (0.071),cross (0.055),execut (0.037),code (0.052),cross (0.015),buffer (0.042),unknown (0.053),memori (0.049),devic (0.033),error (0.041),request (0.017),comment (0.027),bypass (0.015),privileg (0.032),spoof (0.013),vulner (0.053),packet (0.022),csrf (0.045),remov (0.054)
middl (0.055),arbitrari (0.058),vulner (0.066),remot (0.035),exist (0.018),inject (0.060),restrict (0.017),inject (0.053),possibl (0.031),temporari (0.018),obtain (0.016),overflow (0.038),craft (0.020),vulner (0.029),base (0.036),function (0.027),sole (0.072),memori (0.035),arbitrari (0.062),bug (0.019),servic (0.021),inject (0.071),arbitrari (0.054),servic (0.037),vulner (0.037),file (0.015),execut (0.031),compon (0.050),corrupt (0.048),packet (0.031),messag (0.040),crash (0.017),previou (0.026),function (0.013),gold (0.028),http (0.013),travers (0.051),server (0.018),forgeri (0.045),prevent (0.054)
ssl (0.055),cross (0.058),path (0.027),store (0.030),state (0.013),paramet (0.057),administr (0.016),xss (0.050),impact (0.026),permiss (0.017),easier (0.016),buffer (0.037),doe (0.017),vector (0.028),long (0.032),memori (0.021),sourc (0.002),excel (0.034),vulner (0.060),arbitrari (0.017),impact (0.020),command (0.071),xss (0.054),denial (0.036),extens (0.022),craft (0.015),command (0.027),relat (0.048),differ (0.042),id (0.029),request (0.035),file (0.015),relat (0.025),user (0.012),gain (0.027),ssl (0.012),read (0.036),function (0.015),hijack (0.041),descript (0.054)
verifi (0.054),xss (0.057),earlier (0.022),access (0.025),report (0.013),user (0.017),properli (0.015),cross (0.049),code (0.025),gain (0.017),authent (0.013),code (0.036),vulner (0.017),overlap (0.026),stack (0.024),doe (0.016),portion (0.001),craft (0.030),includ (0.034),obtain (0.016),arbitrari (0.018),id (0.030),inject (0.052),craft (0.033),unrestrict (0.019),arbitrari (0.015),arbitrari (0.025),integr (0.037),servic (0.039),bug (0.028),paramet (0.031),entiti (0.015),research (0.025),code (0.012),directori (0.021),bypass (0.011),server (0.020),craft (0.014),authent (0.040),usag (0.054)
craft (0.053),inject (0.057),includ (0.021),local (0.025),origin (0.012),multipl (0.017),paramet (0.013),vector (0.022),chrome (0.025),directori (0.015),kei (0.011),long (0.029),file (0.016),affect (0.025),file (0.019),crash (0.013),issu (0.001),corrupt (0.028),read (0.029),manag (0.016),authent (0.018),index (0.023),vector (0.018),buffer (0.030),direct (0.018),vulner (0.015),long (0.025),confidenti (0.035),caus (0.038),craft (0.019),reveal (0.030),craft (0.014),reliabl (0.023),vulner (0.011),craft (0.021),man (0.011),paramet (0.017),daemon (0.010),user (0.030),note (0.054)
