4,2013,7,12
2,2013,2,1
4,2013,6,5
4,2013,5,1
2,2013,5,1
1,2009,10,1
2,2013,6,3
2,2013,7,5
2,2013,8,5
4,2013,9,4
2,2013,9,7
1,2009,11,1
4,2013,8,3
2,2013,10,4
2,2013,11,4
1,2006,9,1
1,2006,1,1
4,2009,3,1
1,2010,10,1
2,2009,0,1
4,2009,4,1
2,2009,1,2
4,2009,1,2
5,2006,3,1
4,2009,2,1
2,2009,3,1
4,2009,7,1
2,2009,4,1
4,2009,5,2
2,2009,5,2
2,2009,6,1
2,2009,7,3
2,2009,9,1
3,2011,10,2
3,2011,11,1
0,2014,7,2
0,2014,5,4
0,2014,6,2
0,2014,3,4
0,2014,4,1
0,2014,1,3
4,2012,4,1
0,2014,2,1
2,2012,0,1
4,2012,2,1
4,2012,1,1
0,2014,0,3
4,2014,6,16
3,2010,8,1
2,2012,4,5
4,2014,5,5
0,2012,0,1
4,2014,4,6
3,2010,6,3
2,2012,5,1
4,2014,3,9
2,2012,7,1
2,2012,8,2
4,2014,8,4
2,2012,9,2
4,2014,7,8
0,2009,8,1
4,2010,10,2
0,2009,3,2
4,2009,11,1
5,2012,10,1
5,2012,11,3
2,2008,1,1
2,2008,2,2
3,2007,5,1
2,2008,5,1
2,2008,8,2
2,2008,9,1
0,2013,8,2
0,2013,9,2
3,2010,0,1
0,2013,6,3
0,2013,7,2
2,2008,10,2
0,2013,4,1
0,2013,5,2
4,2013,3,6
3,2010,4,1
2,2008,11,2
4,2013,2,2
3,2010,5,1
3,2010,3,2
1,2011,2,1
4,2011,6,1
0,2013,11,1
1,2008,7,1
1,2008,4,1
1,2008,3,2
1,2008,1,1
1,2008,0,2
2,2012,10,4
2,2012,11,1
5,2008,10,3
5,2008,11,1
1,2011,8,1
1,2011,4,1
2,2014,0,11
4,2012,8,2
5,2014,8,5
2,2014,1,5
2,2014,2,3
4,2012,7,3
1,2010,2,2
2,2014,3,4
4,2012,6,1
4,2012,5,1
2,2014,4,5
2,2014,5,11
5,2014,4,3
5,2014,5,6
2,2014,6,9
5,2014,6,8
2,2014,7,10
5,2014,7,11
4,2012,9,2
2,2014,8,4
5,2007,10,1
1,2007,7,1
0,2008,11,1
4,2008,3,1
4,2011,11,1
5,2014,0,10
4,2011,1,1
5,2014,1,5
5,2014,2,6
1,2010,9,1
5,2014,3,4
4,2011,5,1
1,2010,6,1
1,2010,5,2
5,2013,10,9
2,2013,0,2
5,2013,11,5
2,2013,1,2
1,2013,0,8
3,2013,5,4
5,2013,9,5
3,2013,6,1
3,2013,3,1
3,2013,4,2
3,2013,9,6
5,2013,5,3
5,2013,6,6
5,2013,7,10
3,2013,7,3
3,2013,8,9
5,2013,8,3
4,2012,10,1
5,2009,10,1
1,2013,9,3
5,2013,1,4
1,2013,8,11
1,2013,7,7
5,2013,2,4
5,2013,3,3
1,2013,6,7
1,2013,5,5
5,2013,4,4
0,2010,5,1
1,2013,4,3
3,2013,2,6
1,2013,3,2
0,2010,6,1
1,2013,2,4
3,2013,0,2
1,2013,1,2
5,2013,0,4
3,2014,4,6
1,2012,1,5
3,2014,5,7
3,2014,2,5
3,2014,3,9
3,2014,8,4
5,2012,6,1
5,2012,7,1
3,2014,6,10
5,2012,8,1
5,2012,9,3
3,2014,7,13
1,2009,8,3
1,2009,5,1
1,2009,2,1
1,2009,1,1
5,2009,2,2
5,2009,4,1
5,2009,5,3
5,2009,0,1
5,2009,1,1
1,2012,10,5
5,2009,6,2
5,2009,7,1
3,2013,11,4
3,2013,10,3
1,2012,9,6
5,2012,2,1
1,2012,8,2
5,2012,4,3
1,2012,7,7
1,2012,6,2
1,2012,5,3
3,2014,0,18
3,2014,1,8
1,2012,4,2
1,2012,3,1
5,2012,0,1
5,2012,1,1
1,2012,2,2
3,2011,7,1
2,2011,4,1
3,2011,8,1
3,2011,6,2
2,2011,8,1
0,2008,0,1
5,2008,4,1
5,2008,5,1
5,2008,6,1
3,2008,2,2
5,2008,0,1
3,2008,1,2
3,2008,4,1
1,2008,11,2
3,2008,3,1
3,2008,6,1
3,2008,8,1
5,2008,7,2
3,2008,9,1
5,2008,9,2
4,2013,11,5
4,2013,10,5
0,2012,7,1
0,2012,8,1
2,2010,0,1
4,2014,2,4
4,2014,1,1
3,2011,4,1
4,2014,0,5
2,2010,4,2
3,2012,6,2
1,2007,11,1
3,2012,7,2
2,2010,6,2
0,2011,10,1
3,2012,4,1
0,2010,0,1
3,2012,5,2
5,2010,8,2
3,2012,8,2
3,2012,9,4
1,2013,10,9
1,2013,11,4
3,2012,11,1
2,2009,10,1
5,2007,7,1
3,2009,1,3
3,2009,3,1
3,2009,5,3
3,2009,4,2
3,2009,6,1
3,2009,9,1
3,2009,8,2
4,2008,11,1
1,2014,8,8
1,2014,7,20
5,2010,4,1
1,2014,6,13
5,2010,5,2
1,2014,5,11
5,2010,6,1
1,2014,4,9
1,2014,3,13
5,2010,0,1
1,2014,2,13
3,2012,3,1
1,2014,1,9
3,2012,0,1
1,2014,0,15
5,2010,3,1
3,2012,1,1
